Date,Open,High,Low,Close,Adj Close,Volume
11/16/2005,860,870,850,860,547.012756,20
11/17/2005,845,860,845,845,537.471985,882500
11/18/2005,875,875,845,875,556.553772,20
11/21/2005,880,885,875,880,559.733765,9615000
11/22/2005,880,885,875,880,559.733765,20
11/23/2005,850,880,840,850,540.6521,20
11/24/2005,860,865,855,860,547.012756,20
11/25/2005,860,865,855,860,547.012756,20
11/28/2005,860,860,850,860,547.012756,2345000
11/29/2005,880,880,860,880,559.733765,20
11/30/2005,865,885,865,865,550.193054,20
12/1/2005,860,870,855,860,547.012756,20
12/2/2005,890,890,865,890,566.094604,20
12/5/2005,875,890,875,875,556.553772,20
12/6/2005,890,890,875,890,573.966003,20
12/7/2005,890,895,885,890,573.966003,9057500
12/8/2005,890,905,880,890,573.966003,20
12/9/2005,875,890,875,875,564.292542,20
12/12/2005,860,875,855,860,554.618896,20
12/13/2005,855,865,855,855,551.394409,20
12/14/2005,865,870,855,865,557.843567,20
12/15/2005,865,875,860,865,557.843567,20
12/16/2005,855,865,850,855,551.394409,20
12/19/2005,855,865,855,855,551.394409,8795000
